,Index,Mortality
0,1970-01-04,97.85
1,1970-01-11,104.64
2,1970-01-18,94.36
3,1970-01-25,98.05
4,1970-02-01,95.85
5,1970-02-08,95.98
6,1970-02-15,88.63
7,1970-02-22,90.85
8,1970-03-01,92.06
9,1970-03-08,88.75
10,1970-03-15,94.6
11,1970-03-22,92.86
12,1970-03-29,98.02
13,1970-04-05,87.64
14,1970-04-12,97.4
15,1970-04-19,83.24
16,1970-04-26,86.6
17,1970-05-03,90.69
18,1970-05-10,82.86
19,1970-05-17,99.06
20,1970-05-24,81.0
21,1970-05-31,93.18
22,1970-06-07,86.86
23,1970-06-14,89.35
24,1970-06-21,87.13
25,1970-06-28,88.39
26,1970-07-05,85.38
27,1970-07-12,83.96
28,1970-07-19,84.95
29,1970-07-26,86.81
30,1970-08-02,85.25
31,1970-08-09,94.72
32,1970-08-16,90.96
33,1970-08-23,87.73
34,1970-08-30,92.58
35,1970-09-06,87.02
36,1970-09-13,92.68
37,1970-09-20,97.95
38,1970-09-27,94.19
39,1970-10-04,93.95
40,1970-10-11,92.29
41,1970-10-18,93.48
42,1970-10-25,97.41
43,1970-11-01,96.98
44,1970-11-08,106.6
45,1970-11-15,112.41
46,1970-11-22,118.59
47,1970-11-29,107.9
48,1970-12-06,111.82
49,1970-12-13,102.78
50,1970-12-20,100.63
51,1970-12-27,106.54
52,1971-01-03,105.39
53,1971-01-10,104.99
54,1971-01-17,102.72
55,1971-01-24,104.67
56,1971-01-31,103.3
57,1971-02-07,98.46
58,1971-02-14,100.78
59,1971-02-21,94.43
60,1971-02-28,92.16
61,1971-03-07,92.13
62,1971-03-14,95.04
63,1971-03-21,86.88
64,1971-03-28,95.29
65,1971-04-04,85.39
66,1971-04-11,92.63
67,1971-04-18,88.72
68,1971-04-25,87.09
69,1971-05-02,83.92
70,1971-05-09,89.01
71,1971-05-16,78.14
72,1971-05-23,92.84
73,1971-05-30,88.65
74,1971-06-06,86.66
75,1971-06-13,82.04
76,1971-06-20,105.15
77,1971-06-27,94.19
78,1971-07-04,83.99
79,1971-07-11,88.22
80,1971-07-18,85.59
81,1971-07-25,99.21
82,1971-08-01,87.77
83,1971-08-08,90.39
84,1971-08-15,82.25
85,1971-08-22,102.92
86,1971-08-29,86.84
87,1971-09-05,97.22
88,1971-09-12,94.97
89,1971-09-19,104.86
90,1971-09-26,80.53
91,1971-10-03,102.47
92,1971-10-10,97.8
93,1971-10-17,95.28
94,1971-10-24,105.64
95,1971-10-31,106.44
96,1971-11-07,110.65
97,1971-11-14,114.41
98,1971-11-21,115.98
99,1971-11-28,112.72
100,1971-12-05,115.99
101,1971-12-12,104.14
102,1971-12-19,109.3
103,1971-12-26,111.47
104,1972-01-02,102.67
105,1972-01-09,101.34
106,1972-01-16,94.97
107,1972-01-23,90.48
108,1972-01-30,93.7
109,1972-02-06,81.87
110,1972-02-13,91.12
111,1972-02-20,90.55
112,1972-02-27,89.62
113,1972-03-05,91.63
114,1972-03-12,89.22
115,1972-03-19,84.81
116,1972-03-26,95.0
117,1972-04-02,83.77
118,1972-04-09,98.26
119,1972-04-16,82.87
120,1972-04-23,85.51
121,1972-04-30,84.67
122,1972-05-07,84.45
123,1972-05-14,93.96
124,1972-05-21,82.47
125,1972-05-28,89.18
126,1972-06-04,87.33
127,1972-06-11,92.67
128,1972-06-18,93.83
129,1972-06-25,86.65
130,1972-07-02,89.35
131,1972-07-09,77.97
132,1972-07-16,86.06
133,1972-07-23,83.34
134,1972-07-30,87.35
135,1972-08-06,90.58
136,1972-08-13,84.72
137,1972-08-20,88.32
138,1972-08-27,82.62
139,1972-09-03,92.52
140,1972-09-10,86.73
141,1972-09-17,99.54
142,1972-09-24,95.5
143,1972-10-01,92.34
144,1972-10-08,97.49
145,1972-10-15,97.9
146,1972-10-22,97.54
147,1972-10-29,103.78
148,1972-11-05,110.17
149,1972-11-12,116.04
150,1972-11-19,132.04
151,1972-11-26,126.95
152,1972-12-03,121.11
153,1972-12-10,119.3
154,1972-12-17,118.2
155,1972-12-24,102.36
156,1972-12-31,98.44
157,1973-01-07,97.87
158,1973-01-14,92.98
159,1973-01-21,96.16
160,1973-01-28,86.83
161,1973-02-04,91.09
162,1973-02-11,92.5
163,1973-02-18,90.64
164,1973-02-25,80.69
165,1973-03-04,99.91
166,1973-03-11,89.09
167,1973-03-18,94.25
168,1973-03-25,93.33
169,1973-04-01,84.08
170,1973-04-08,86.37
171,1973-04-15,86.61
172,1973-04-22,82.47
173,1973-04-29,82.73
174,1973-05-06,98.29
175,1973-05-13,87.02
176,1973-05-20,91.13
177,1973-05-27,80.23
178,1973-06-03,81.36
179,1973-06-10,82.8
180,1973-06-17,87.24
181,1973-06-24,79.37
182,1973-07-01,86.83
183,1973-07-08,82.0
184,1973-07-15,77.96
185,1973-07-22,79.69
186,1973-07-29,87.32
187,1973-08-05,85.33
188,1973-08-12,92.02
189,1973-08-19,84.03
190,1973-08-26,83.45
191,1973-09-02,82.35
192,1973-09-09,89.17
193,1973-09-16,82.24
194,1973-09-23,93.35
195,1973-09-30,89.16
196,1973-10-07,95.13
197,1973-10-14,89.1
198,1973-10-21,100.32
199,1973-10-28,95.61
200,1973-11-04,99.61
201,1973-11-11,105.82
202,1973-11-18,104.2
203,1973-11-25,95.45
204,1973-12-02,90.48
205,1973-12-09,93.58
206,1973-12-16,91.71
207,1973-12-23,95.29
208,1973-12-30,94.69
209,1974-01-06,102.5
210,1974-01-13,98.58
211,1974-01-20,107.12
212,1974-01-27,99.29
213,1974-02-03,96.85
214,1974-02-10,89.02
215,1974-02-17,96.27
216,1974-02-24,97.55
217,1974-03-03,85.16
218,1974-03-10,94.77
219,1974-03-17,85.45
220,1974-03-24,97.46
221,1974-03-31,83.31
222,1974-04-07,91.41
223,1974-04-14,88.84
224,1974-04-21,86.44
225,1974-04-28,82.08
226,1974-05-05,83.63
227,1974-05-12,95.22
228,1974-05-19,80.28
229,1974-05-26,85.59
230,1974-06-02,84.68
231,1974-06-09,81.53
232,1974-06-16,89.2
233,1974-06-23,74.51
234,1974-06-30,81.85
235,1974-07-07,81.97
236,1974-07-14,85.01
237,1974-07-21,86.98
238,1974-07-28,81.67
239,1974-08-04,91.11
240,1974-08-11,83.38
241,1974-08-18,86.18
242,1974-08-25,89.93
243,1974-09-01,91.82
244,1974-09-08,92.27
245,1974-09-15,89.29
246,1974-09-22,85.41
247,1974-09-29,96.78
248,1974-10-06,83.6
249,1974-10-13,98.63
250,1974-10-20,90.86
251,1974-10-27,94.36
252,1974-11-03,97.52
253,1974-11-10,108.68
254,1974-11-17,107.23
255,1974-11-24,107.08
256,1974-12-01,113.39
257,1974-12-08,105.51
258,1974-12-15,111.9
259,1974-12-22,110.44
260,1974-12-29,95.42
261,1975-01-05,97.78
262,1975-01-12,90.38
